year,venue,event,coach,rank,game,opponent,goals_opp,goals_sui,diff,result,result_extra,points,phase
1998,Switzerland,wc,Ralph Krueger,4,1,USA,5,2,-3,loss,,0,first round
1998,Switzerland,wc,Ralph Krueger,4,2,SWE,6,1,-5,loss,,0,first round
1998,Switzerland,wc,Ralph Krueger,4,3,FRA,1,5,4,win,,3,first round
1998,Switzerland,wc,Ralph Krueger,4,4,RUS,2,4,2,win,,3,second round
1998,Switzerland,wc,Ralph Krueger,4,5,CZE,3,1,-2,loss,,0,second round
1998,Switzerland,wc,Ralph Krueger,4,6,SVK,1,1,0,draw,,1.5,second round
1998,Switzerland,wc,Ralph Krueger,4,7,SWE,4,1,-3,loss,,0,semifinal 1
1998,Switzerland,wc,Ralph Krueger,4,8,SWE,7,2,-5,loss,,0,semifinal 2
1998,Switzerland,wc,Ralph Krueger,4,9,CZE,4,0,-4,loss,,0,bronze medal game
1999,Norway,wc,Ralph Krueger,8,1,LAT,3,5,2,win,,3,first round
1999,Norway,wc,Ralph Krueger,8,2,SWE,6,1,-5,loss,,0,first round
1999,Norway,wc,Ralph Krueger,8,3,FRA,0,6,6,win,,3,first round
1999,Norway,wc,Ralph Krueger,8,4,CAN,8,2,-6,loss,,0,second round
1999,Norway,wc,Ralph Krueger,8,5,FIN,5,1,-4,loss,,0,second round
1999,Norway,wc,Ralph Krueger,8,6,USA,3,0,-3,loss,,0,second round
2000,Russia,wc,Ralph Krueger,6,1,USA,3,3,0,draw,,1.5,first round
2000,Russia,wc,Ralph Krueger,6,2,FRA,4,2,-2,loss,,0,first round
2000,Russia,wc,Ralph Krueger,6,3,RUS,2,3,1,win,,3,first round
2000,Russia,wc,Ralph Krueger,6,4,SWE,1,1,0,draw,,1.5,second round
2000,Russia,wc,Ralph Krueger,6,5,LAT,1,4,3,win,,3,second round
2000,Russia,wc,Ralph Krueger,6,6,BLR,5,3,-2,loss,,0,second round
2000,Russia,wc,Ralph Krueger,6,7,CAN,5,3,-2,loss,,0,quarterfinal
2001,Germany,wc,Ralph Krueger,9,1,GER,3,1,-2,loss,,0,first round
2001,Germany,wc,Ralph Krueger,9,2,BLR,2,5,3,win,,3,first round
2001,Germany,wc,Ralph Krueger,9,3,CZE,3,1,-2,loss,,0,first round
2001,Germany,wc,Ralph Krueger,9,4,CAN,6,2,-4,loss,,0,second round
2001,Germany,wc,Ralph Krueger,9,5,RUS,2,1,-1,loss,,0,second round
2001,Germany,wc,Ralph Krueger,9,6,ITA,1,8,7,win,,3,second round
2002,USA,og,Ralph Krueger,11,1,FRA,3,3,0,draw,,1.5,first round
2002,USA,og,Ralph Krueger,11,2,UKR,5,2,-3,loss,,0,first round
2002,USA,og,Ralph Krueger,11,3,BLR,1,2,1,win,,3,first round
2002,USA,og,Ralph Krueger,11,4,AUT,1,4,3,win,,3,second round
2002,Sweden,wc,Ralph Krueger,10,1,CZE,5,0,-5,loss,,0,first round
2002,Sweden,wc,Ralph Krueger,10,2,GER,3,0,-3,loss,,0,first round
2002,Sweden,wc,Ralph Krueger,10,3,JAP,1,5,4,win,,3,first round
2002,Sweden,wc,Ralph Krueger,10,4,USA,3,0,-3,loss,,0,second round
2002,Sweden,wc,Ralph Krueger,10,5,CAN,3,2,-1,loss,,0,second round
2002,Sweden,wc,Ralph Krueger,10,6,LAT,4,6,2,win,,3,second round
2003,Finland,wc,Ralph Krueger,8,1,RUS,5,2,-3,loss,,0,first round
2003,Finland,wc,Ralph Krueger,8,2,USA,0,1,1,win,,3,first round
2003,Finland,wc,Ralph Krueger,8,3,DEN,2,6,4,win,,3,first round
2003,Finland,wc,Ralph Krueger,8,4,LAT,2,4,2,win,,3,second round
2003,Finland,wc,Ralph Krueger,8,5,CAN,2,0,-2,loss,,0,second round
2003,Finland,wc,Ralph Krueger,8,6,SWE,5,2,-3,loss,,0,second round
2003,Finland,wc,Ralph Krueger,8,7,SVK,3,1,-2,loss,,0,quarterfinal
2004,Czech Republic,wc,Ralph Krueger,8,1,FRA,0,6,6,win,,3,first round
2004,Czech Republic,wc,Ralph Krueger,8,2,AUT,4,4,0,draw,,1.5,first round
2004,Czech Republic,wc,Ralph Krueger,8,3,CAN,3,1,-2,loss,,0,first round
2004,Czech Republic,wc,Ralph Krueger,8,4,LAT,1,1,0,draw,,1.5,second round
2004,Czech Republic,wc,Ralph Krueger,8,5,CZE,3,1,-2,loss,,0,second round
2004,Czech Republic,wc,Ralph Krueger,8,6,GER,0,1,1,win,,3,second round
2004,Czech Republic,wc,Ralph Krueger,8,7,SVK,3,1,-2,loss,,0,quarterfinal
2005,Austria,wc,Ralph Krueger,8,1,CZE,3,1,-2,loss,,0,first round
2005,Austria,wc,Ralph Krueger,8,2,KAZ,1,2,1,win,,3,first round
2005,Austria,wc,Ralph Krueger,8,3,GER,1,5,4,win,,3,first round
2005,Austria,wc,Ralph Krueger,8,4,RUS,3,3,0,draw,,1.5,second round
2005,Austria,wc,Ralph Krueger,8,5,SVK,3,1,-2,loss,,0,second round
2005,Austria,wc,Ralph Krueger,8,6,BLR,0,2,2,win,,3,second round
2005,Austria,wc,Ralph Krueger,8,7,SWE,2,1,-1,loss,,0,quarterfinal
2006,Italy,og,Ralph Krueger,6,1,FIN,5,0,-5,loss,,0,first round
2006,Italy,og,Ralph Krueger,6,2,CZE,2,3,1,win,,3,first round
2006,Italy,og,Ralph Krueger,6,3,CAN,0,2,2,win,,3,first round
